Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1658858827.7779615,7063,1658858827,775749888,map,4.133739471435547,11.809798240661621,4.007149696350098,-0.031024818006219184,0.01250598761213151,-0.9872754599274078,-0.15546133656524147
1658858827.8281493,7064,1658858827,825749888,map,4.028496742248535,11.84194564819336,4.008627891540527,-0.02904301355801475,0.011441349931992634,-0.9854227236832083,-0.16723532678226294
1658858827.878219,7065,1658858827,875749888,map,3.9261083602905273,11.874606132507324,4.009044647216797,-0.027107515854620904,0.00961964909703863,-0.983320684677133,-0.1795914141086255
1658858827.9281993,7066,1658858827,925749632,map,3.8263754844665527,11.907458305358887,4.008655071258545,-0.0242665033055201,0.00805920943407055,-0.981063757259367,-0.1919898178361415
1658858827.9783719,7067,1658858827,975749632,map,3.7303237915039062,11.94088077545166,4.006430149078369,-0.022318623152320007,0.005894695756352209,-0.9784067700211987,-0.20539553062131122
1658858828.0282354,7068,1658858828,25749376,map,3.6377103328704834,11.974644660949707,4.00277042388916,-0.020698440205788895,0.003041358273884594,-0.9756315337545625,-0.21841573903136452
1658858828.0780115,7069,1658858828,75749376,map,3.5474612712860107,12.008440971374512,3.9996492862701416,-0.019587012124781422,0.0008984786864193866,-0.9723357444367972,-0.23276327412762715
1658858828.1279616,7070,1658858828,125749120,map,3.4593048095703125,12.042078971862793,3.9969801902770996,-0.01852640895864542,0.0007013919022265082,-0.9686963204843948,-0.2475554865085634
1658858828.1778398,7071,1658858828,175749120,map,3.37400484085083,12.07777214050293,3.9961113929748535,-0.01673255012962547,0.002860083116097872,-0.9647119254698903,-0.26275985718314304
1658858828.2282343,7072,1658858828,225748608,map,3.2898402214050293,12.11608600616455,3.996490716934204,-0.01466468730232206,0.0050610667170847105,-0.9599366032398182,-0.27978750921084716
1658858828.2783098,7073,1658858828,275748608,map,3.2078073024749756,12.153838157653809,3.995856285095215,-0.012594594170675263,0.005595547626582194,-0.954781594411783,-0.29698850654011494
1658858828.3279698,7074,1658858828,325749632,map,3.127793788909912,12.191051483154297,3.994394302368164,-0.01053512459754905,0.00552235859961079,-0.9489539621716373,-0.3151902479201441
1658858828.3780177,7075,1658858828,375749632,map,3.0510380268096924,12.227038383483887,3.9919512271881104,-0.008717257086429231,0.0062408611280965805,-0.9427477730895061,-0.3333342127895756
1658858828.4280035,7076,1658858828,425749120,map,2.9771783351898193,12.262155532836914,3.988769054412842,-0.007106499343366611,0.005031680047741768,-0.9361793052573715,-0.35141498014570394
1658858828.4786272,7077,1658858828,475749120,map,2.9048166275024414,12.296754837036133,3.984968662261963,-0.004765818934265371,0.004582723439014455,-0.9291771418065509,-0.3695756008721034
1658858828.5279038,7078,1658858828,525748096,map,2.8338422775268555,12.330936431884766,3.9806230068206787,-0.002333333979648461,0.0034247551130608023,-0.921495051026294,-0.3883679924234271
1658858828.5778637,7079,1658858828,575748096,map,2.763533353805542,12.364328384399414,3.9766554832458496,0.0001887275851992036,0.0019202369789678405,-0.9134705387001383,-0.406900297368683
1658858828.6280117,7080,1658858828,625747072,map,2.693955898284912,12.396960258483887,3.9729650020599365,0.0029335286820001186,0.0008153974144376835,-0.9053103581163123,-0.42473978507298155
1658858828.6779199,7081,1658858828,675747072,map,2.625875473022461,12.429414749145508,3.968698024749756,0.004492889747410108,-0.000714872699594463,-0.8965254664283294,-0.4429688374414245
1658858828.7281344,7082,1658858828,725746304,map,2.559760570526123,12.461272239685059,3.963963270187378,0.0050138905028858614,-0.0009273134933464603,-0.8875166580779609,-0.46074741738379604
1658858828.7786644,7083,1658858828,775746304,map,2.4940028190612793,12.49473762512207,3.9583942890167236,0.0050081564549908615,0.00021020745820659985,-0.878320097960061,-0.4780467338045262
1658858828.8279305,7084,1658858828,825745792,map,2.4295291900634766,12.52929973602295,3.9523425102233887,0.003070327397976123,0.0007901415978750721,-0.8687388918366412,-0.4952602210720838
1658858828.8780227,7085,1658858828,875745792,map,2.3664636611938477,12.563288688659668,3.9468886852264404,0.00033343693351786907,0.0015629575381783264,-0.8585844761847107,-0.5126696238691846
1658858828.9287071,7086,1658858828,925745024,map,2.304719924926758,12.596805572509766,3.9420883655548096,-0.0021015561896021284,0.0019872199466275916,-0.8481521108661628,-0.5297448737380457
1658858828.9779067,7087,1658858828,975745024,map,2.2411110401153564,12.630385398864746,3.9359354972839355,-0.0036452028596426654,0.0020717161322699163,-0.8377191333750725,-0.5460852260093627
1658858829.0278099,7088,1658858829,25744768,map,2.175109624862671,12.66441822052002,3.9287948608398438,-0.004465366115873227,0.0027201466912573934,-0.8270950078152279,-0.5620378184380099
